Service,Service Provider Name,Service Type,Top_B_Feature_1,Top_B_Feature_2,average_monthly_running_cost,Description,Education_Score,Health_Score,Finance_Score,Tech_Score
Gmail,Google,Business Email,Calendar Support,Custom Domain Support,6.0,"Part of Google Workspace, Gmail offers seamless integration with Google Calendar, Docs, and Drive, making it ideal for teams needing collaboration and cloud storage.",27.0,27.0,27.0,27.0
ProtonMail,Proton,Business Email,Calendar Support,Custom Domain Support,5.0,"A privacy-first email provider with end-to-end encryption, ProtonMail is built for organizations needing secure communication and GDPR-compliant infrastructure.",9.0,9.0,9.0,7.0
Zoho Mail,Zoho,Business Email,Calendar Support,Custom Domain Support,1.0,"An affordable email service designed for startups and small businesses, offering custom domains, basic calendar, and admin controls at minimal cost.",18.0,18.0,18.0,16.0
Outlook,Microsoft,Business Email,Calendar Support,Custom Domain Support,7.0,"Outlook is part of Microsoft 365, offering deep integration with Word, Excel, Teams, and robust calendaring for enterprise-grade collaboration.",24.0,24.0,24.0,24.0
Google Cloud,Google,Cloud Infrastructure,Scalable Compute & Storage,Advanced AI & Data Processing Capabilities,36.0,"High-scale cloud with global infra, strong ML tooling (TPUs, BigQuery, Vertex)",31.0,31.0,31.0,31.0
Amazon AWS,Amazon,Cloud Infrastructure,Scalable Compute & Storage,Advanced AI & Data Processing Capabilities,25.0,"Massive catalog of services, flexible architecture, global scale",34.0,34.0,34.0,34.0
Microsoft Azure,Microsoft,Cloud Infrastructure,Scalable Compute & Storage,Advanced AI & Data Processing Capabilities,28.0,"Seamless fit for enterprises using Office, Windows, AD stack",28.0,28.0,28.0,28.0
DigitalOcean,DigitalOcean,Cloud Infrastructure,Scalable Compute & Storage,Simple UI & Developer-Friendly API,7.0,"Fast setup, predictable billing, excellent for startups/devs",22.0,22.0,20.0,20.0
Linode,Akamai,Cloud Infrastructure,Scalable Compute & Storage,CLI Tools & Cost Transparency,5.0,"Transparent pricing, Linux-first experience, good documentation",22.0,22.0,20.0,20.0
Vultr,Vultr,Cloud Infrastructure,Scalable Compute & Storage,IPv6 Support & Bare Metal Availability,6.0,"Edge locations, bare metal options, and flexible hourly billing",22.0,22.0,20.0,20.0
Hetzner,Hetzner,Cloud Infrastructure,Scalable Compute & Storage,High-Performance Bare Metal,4.0,EU-based infra with very high performance-to-price ratio,16.0,16.0,14.0,14.0
Scaleway,Scaleway,Cloud Infrastructure,Scalable Compute & Storage,Privacy-Conscious Compliance Features,6.0,"GDPR-first, France-based infra with clean UI and elasticity",16.0,16.0,14.0,14.0
ChatGPT,OpenAI,LLM,Natural Language Understanding,Plugin Integration,3000.0,High-capability model with broad integration; BDS/ethical flagged,33.0,33.0,33.0,33.0
Gemini,Google DeepMind,LLM,Natural Language Understanding,Plugin Integration,4000.0,Grounded web-linked responses; ethical issues flagged,31.0,31.0,31.0,31.0
Claude,Anthropic,LLM,Natural Language Understanding,Privacy Focus,3500.0,Strong privacy guardrails; aligned toward safer outputs,20.0,20.0,20.0,18.0
